plot,frequency,height,landuse,value,landscape,Time,species,transmission,ambient.noise,excess_attenuation,extinction,extinction_species,area_ha,tree_density,basal_area_m2_ha,tree_height_m,crown_base_height_m,understory_density,understory_height_m,pred_species,rel_pred_species
BF1,4,0.1,Forest,measured,Bukit 12,sunset,NA,-10.51195659,NA,8.695521065,NA,NA,NA,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,4,2,Forest,measured,Bukit 12,sunrise,NA,-7.98547117,40.96414456,-2.96772678,4.907019096,NA,5.895585095,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,4,2,Forest,measured,Bukit 12,sunset,NA,-7.98547117,NA,-2.96772678,NA,NA,NA,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,4,5,Forest,measured,Bukit 12,sunrise,NA,-6.905179656,40.96414456,-7.961662173,5.681527217,NA,28.15300582,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,4,5,Forest,measured,Bukit 12,sunset,NA,-6.905179656,NA,-7.961662173,NA,NA,NA,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,4.4,0.1,Forest,extrapolated,Bukit 12,sunrise,NA,-10.68331712,49.2285422,NA,2.891859746,NA,0.103470849,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,4.4,0.1,Forest,extrapolated,Bukit 12,sunset,NA,-10.68331712,68.70744683,NA,1.059679936,NA,0.002620428,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,4.4,2,Forest,extrapolated,Bukit 12,sunrise,NA,-7.890173487,49.2285422,NA,3.920480875,NA,0.820144067,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,4.4,2,Forest,extrapolated,Bukit 12,sunset,NA,-7.890173487,68.70744683,NA,1.435604413,NA,0.005567814,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,4.4,5,Forest,extrapolated,Bukit 12,sunrise,NA,-6.93435249,49.2285422,NA,4.443464755,NA,2.291989749,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
